,Type,Price,Contracts,Cum. Profit NONE,Profit %,total_value,payment,leverage
56,Entry Long,602.08,131.0143,28878.34,-3.31,131490.35,78881.089744,0.6120585487367388
58,Entry Short,582.38,133.3194,26203.03,-3.45,128878.34,77642.552172,0.6152193982347334
60,Entry Long,602.21,259.0752,20496.5,-3.66,126203.03,156017.676192,1.2947901075300943
62,Entry Short,580.42,126.0855,24145.88,4.99,120496.5,73182.54590999999,0.5894883173730774
64,Entry Long,583.11,127.7418,22445.55,-2.28,124145.88,74487.520998,0.6083317931766405
66,Entry Short,570.03,128.9792,20699.09,-2.38,122445.55,73522.01337599999,0.6091347778678363
68,Entry Long,583.34,124.4403,24326.62,5.0,120699.09,72591.004602,0.5838733861018662
70,Entry Long,587.76,127.0756,27932.92,4.83,124326.62,74689.954656,0.583821229563118
72,Entry Short,493.62,155.6235,25959.62,-2.57,127932.92,76818.87207,0.6098690363626057
74,Entry Long,506.1,150.6649,23732.87,-2.92,125959.62,76251.50589,0.6162590901673904
76,Entry Short,491.52,301.7253,19777.49,-2.67,123732.87,148304.019456,1.2381626919715882
78,Entry Long,504.43,145.3663,23508.04,5.09,119777.49,73327.122709,0.5937032334818041
80,Entry Short,513.83,144.4031,27278.36,5.08,123508.04000000001,74198.644873,0.582963552272358
82,Entry Long,477.25,160.0147,25190.44,-2.73,127278.36,76367.015575,0.6100067670902027
84,Entry Short,464.39,162.5633,23527.78,-2.2,125190.44,75492.77088699999,0.6111400276682701
86,Entry Long,474.43,157.5793,24756.68,1.64,123527.78,74760.347299,0.5992492530179546
88,Entry Short,482.42,155.4263,28477.88,4.96,124756.68,74980.755646,0.5836082884150953
90,Entry Long,437.13,176.307,27964.06,-0.67,128477.88,77069.07891,0.602271285468748
92,Entry Short,434.39,177.9615,27254.98,-0.92,127964.06,77304.695985,0.6074787484544809
94,Entry Long,438.2,352.2251,22766.65,-2.91,127254.98,154345.03882,1.25722285995423
96,Entry Short,425.63,174.9693,20402.31,-3.17,122766.65,74472.18315900001,0.6185278601299261
98,Entry Long,438.97,165.2102,21306.55,1.25,120402.31,72522.321494,0.5978434098900678
100,Entry Short,444.62,164.0252,19617.11,-2.32,121306.55,72928.884424,0.6096860593271314
102,Entry Long,454.74,159.2307,23192.41,4.94,119617.11,72408.56851800001,0.5877680980346112
104,Entry Short,493.96,149.6294,26854.94,4.96,123192.41,73910.93842399999,0.5826413888493424
106,Entry Long,459.6,165.6069,26956.95,0.13,126854.94,76112.93124,0.5995176415312435
108,Entry Short,460.4,166.2479,25863.8,-1.43,126956.95,76540.53315999999,0.6081218997042834
110,Entry Long,466.79,328.0275,22254.0,-2.36,125863.8,153119.956725,1.2524740026911185
112,Entry Short,455.97,164.1536,21059.98,-1.6,122254.0,74849.11699200001,0.6182812601819364
114,Entry Long,463.06,320.8027,24018.71,1.99,121059.98,148550.898262,1.1978103808852714
116,Entry Short,472.47,159.6422,24046.02,0.04,124018.70999999999,75426.150234,0.6080497402012576
118,Entry Long,472.11,317.3156,23440.43,-0.4,124046.02,149807.86791600002,1.213604553354197
120,Entry Short,470.39,160.6989,23897.21,0.6,123440.43,75591.155571,0.6101118465137351
122,Entry Long,467.36,319.7782,22117.36,-1.19,123897.20999999999,149451.53955200003,1.2238353298171532
124,Entry Short,461.98,159.9681,21380.6,-1.0,122117.36,73902.062838,0.6088457532587579
126,Entry Long,466.4,316.1372,21511.27,0.09,121380.6,147446.39007999998,1.2134379805264153
128,Entry Long,423.71,172.0675,18905.05,-3.57,121511.27,72906.72042499999,0.6131507486435605
130,Entry Short,408.73,175.3719,17944.97,-1.34,118905.05,71679.756687,0.6077389878262719
132,Entry Long,414.04,346.3511,16782.97,-0.81,117944.97,143403.209444,1.2279462445937108
134,Entry Short,410.85,172.2152,17219.74,0.62,116782.97,70754.61492,0.6036066529408785
136,Entry Long,408.15,172.7914,16345.02,-1.24,117219.74,70524.80991,0.6061695628227146
138,Entry Short,403.25,174.2438,15358.38,-1.4,116345.02,70263.81235,0.6090915315384976
140,Entry Long,408.75,170.2888,14009.36,-1.94,115358.38,69605.547,0.610524846381034
142,Entry Short,400.99,172.5153,17386.1,4.88,114009.36,69176.910147,0.5893109162583986
